run_id,model_scale_id,condition_id,stage,p_code,budget_R,z_R,budget_V,z_V,budget_M,z_M,budget_W,z_W,budget_E,z_E
REFERENCE-C042,REFERENCE,C042,B_CENTER_REPLICATE,0,8,1.0,4,1.0,32768,1.0,4,1.0,2,1.0
REFERENCE-C043,REFERENCE,C043,B_CENTER_REPLICATE,0,8,1.0,4,1.0,32768,1.0,4,1.0,2,1.0
REFERENCE-C044,REFERENCE,C044,B_CENTER_REPLICATE,0,8,1.0,4,1.0,32768,1.0,4,1.0,2,1.0
REFERENCE-C045,REFERENCE,C045,B_CENTER_REPLICATE,0,8,1.0,4,1.0,32768,1.0,4,1.0,2,1.0
REFERENCE-C046,REFERENCE,C046,B_CENTER_REPLICATE,0,8,1.0,4,1.0,32768,1.0,4,1.0,2,1.0
REFERENCE-C047,REFERENCE,C047,B_CENTER_REPLICATE,0,8,1.0,4,1.0,32768,1.0,4,1.0,2,1.0
REFERENCE-C048,REFERENCE,C048,B_ALL_OFF_REPLICATE,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
REFERENCE-C049,REFERENCE,C049,B_ALL_OFF_REPLICATE,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
REFERENCE-C050,REFERENCE,C050,B_ALL_OFF_REPLICATE,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
REFERENCE-C051,REFERENCE,C051,B_ALL_OFF_REPLICATE,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
REFERENCE-C052,REFERENCE,C052,B_ALL_HIGH_REPLICATE,0,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
REFERENCE-C053,REFERENCE,C053,B_ALL_HIGH_REPLICATE,0,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
REFERENCE-C054,REFERENCE,C054,B_ALL_HIGH_REPLICATE,0,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
REFERENCE-C055,REFERENCE,C055,B_ALL_HIGH_REPLICATE,0,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
LARGE-C000,LARGE,C000,A_FULL_FACTORIAL,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
LARGE-C001,LARGE,C001,A_FULL_FACTORIAL,1,0,0.0,0,0.0,0,0.0,0,0.0,6,2.0
LARGE-C002,LARGE,C002,A_FULL_FACTORIAL,1,0,0.0,0,0.0,0,0.0,12,2.0,0,0.0
LARGE-C003,LARGE,C003,A_FULL_FACTORIAL,1,0,0.0,0,0.0,0,0.0,12,2.0,6,2.0
LARGE-C004,LARGE,C004,A_FULL_FACTORIAL,1,0,0.0,0,0.0,98304,2.0,0,0.0,0,0.0
LARGE-C005,LARGE,C005,A_FULL_FACTORIAL,1,0,0.0,0,0.0,98304,2.0,0,0.0,6,2.0
LARGE-C006,LARGE,C006,A_FULL_FACTORIAL,1,0,0.0,0,0.0,98304,2.0,12,2.0,0,0.0
LARGE-C007,LARGE,C007,A_FULL_FACTORIAL,1,0,0.0,0,0.0,98304,2.0,12,2.0,6,2.0
LARGE-C008,LARGE,C008,A_FULL_FACTORIAL,1,0,0.0,12,2.0,0,0.0,0,0.0,0,0.0
LARGE-C009,LARGE,C009,A_FULL_FACTORIAL,1,0,0.0,12,2.0,0,0.0,0,0.0,6,2.0
LARGE-C010,LARGE,C010,A_FULL_FACTORIAL,1,0,0.0,12,2.0,0,0.0,12,2.0,0,0.0
LARGE-C011,LARGE,C011,A_FULL_FACTORIAL,1,0,0.0,12,2.0,0,0.0,12,2.0,6,2.0
LARGE-C012,LARGE,C012,A_FULL_FACTORIAL,1,0,0.0,12,2.0,98304,2.0,0,0.0,0,0.0
LARGE-C013,LARGE,C013,A_FULL_FACTORIAL,1,0,0.0,12,2.0,98304,2.0,0,0.0,6,2.0
LARGE-C014,LARGE,C014,A_FULL_FACTORIAL,1,0,0.0,12,2.0,98304,2.0,12,2.0,0,0.0
LARGE-C015,LARGE,C015,A_FULL_FACTORIAL,1,0,0.0,12,2.0,98304,2.0,12,2.0,6,2.0
LARGE-C016,LARGE,C016,A_FULL_FACTORIAL,1,24,2.0,0,0.0,0,0.0,0,0.0,0,0.0
LARGE-C017,LARGE,C017,A_FULL_FACTORIAL,1,24,2.0,0,0.0,0,0.0,0,0.0,6,2.0
LARGE-C018,LARGE,C018,A_FULL_FACTORIAL,1,24,2.0,0,0.0,0,0.0,12,2.0,0,0.0
LARGE-C019,LARGE,C019,A_FULL_FACTORIAL,1,24,2.0,0,0.0,0,0.0,12,2.0,6,2.0
LARGE-C020,LARGE,C020,A_FULL_FACTORIAL,1,24,2.0,0,0.0,98304,2.0,0,0.0,0,0.0
LARGE-C021,LARGE,C021,A_FULL_FACTORIAL,1,24,2.0,0,0.0,98304,2.0,0,0.0,6,2.0
LARGE-C022,LARGE,C022,A_FULL_FACTORIAL,1,24,2.0,0,0.0,98304,2.0,12,2.0,0,0.0
LARGE-C023,LARGE,C023,A_FULL_FACTORIAL,1,24,2.0,0,0.0,98304,2.0,12,2.0,6,2.0
LARGE-C024,LARGE,C024,A_FULL_FACTORIAL,1,24,2.0,12,2.0,0,0.0,0,0.0,0,0.0
LARGE-C025,LARGE,C025,A_FULL_FACTORIAL,1,24,2.0,12,2.0,0,0.0,0,0.0,6,2.0
LARGE-C026,LARGE,C026,A_FULL_FACTORIAL,1,24,2.0,12,2.0,0,0.0,12,2.0,0,0.0
LARGE-C027,LARGE,C027,A_FULL_FACTORIAL,1,24,2.0,12,2.0,0,0.0,12,2.0,6,2.0
LARGE-C028,LARGE,C028,A_FULL_FACTORIAL,1,24,2.0,12,2.0,98304,2.0,0,0.0,0,0.0
LARGE-C029,LARGE,C029,A_FULL_FACTORIAL,1,24,2.0,12,2.0,98304,2.0,0,0.0,6,2.0
LARGE-C030,LARGE,C030,A_FULL_FACTORIAL,1,24,2.0,12,2.0,98304,2.0,12,2.0,0,0.0
LARGE-C031,LARGE,C031,A_FULL_FACTORIAL,1,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
LARGE-C032,LARGE,C032,B_AXIAL,1,0,0.0,4,1.0,32768,1.0,4,1.0,2,1.0
LARGE-C033,LARGE,C033,B_AXIAL,1,24,2.0,4,1.0,32768,1.0,4,1.0,2,1.0
LARGE-C034,LARGE,C034,B_AXIAL,1,8,1.0,0,0.0,32768,1.0,4,1.0,2,1.0
LARGE-C035,LARGE,C035,B_AXIAL,1,8,1.0,12,2.0,32768,1.0,4,1.0,2,1.0
